"PRODUCT_NUMBER","PRODUCT_LANGUAGE","PRODUCT_NAME","PRODUCT_DESCRIPTION"
143130,"EN","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort."
143140,"EN","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort."
143150,"EN","Trendi","Trendi sunglasses feature a sporty, stylish, wrap-around design. Soft rocker nose pads and rubberized temple ends provide the ultimate in comfort."
144110,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144120,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144130,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144140,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144150,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144160,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144170,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144180,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144190,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
144200,"EN","TX","The TX watch offers 4 separate times.  The synthetic band is durable yet breathable. "
145110,"EN","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
145120,"EN","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
145130,"EN","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
145140,"EN","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
145150,"EN","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
145160,"EN","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
145170,"EN","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
145180,"EN","Legend","Solid titanium case, crown, bezel.  Combination nylon and rubber strap. Analog representation on digital interface.  Backlit, hardened mineral crystal, water-resistant to 100 meters."
146110,"EN","Zodiak","The Zodiak has a durable synthetic leather strap, digital face, hardened crystal, and is water-resistant to 100 meters."
146120,"EN","Zodiak","The Zodiak has a durable synthetic leather strap, digital face, hardened crystal, and is water-resistant to 100 meters."
146130,"EN","Zodiak","The Zodiak has a durable synthetic leather strap, digital face, hardened crystal, and is water-resistant to 100 meters."
146140,"EN","Zodiak","The Zodiak has a durable synthetic leather strap, digital face, hardened crystal, and is water-resistant to 100 meters."
147110,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
147120,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
147130,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
147140,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
147150,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
147160,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
147170,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
147180,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
147190,"EN","Zone","Zone sunglasses are scratch-resistant and offer full protection from ultraviolet light."
148110,"EN","Hawk Eye","Hawk Eye sunglasses are feather light and offer 100% ultraviolet protection."
148120,"EN","Hawk Eye","Hawk Eye sunglasses are feather light and offer 100% ultraviolet protection."
148130,"EN","Hawk Eye","Hawk Eye sunglasses are feather light and offer 100% ultraviolet protection."
149110,"EN","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors."
149120,"EN","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors."
149130,"EN","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors."
149140,"EN","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors."
149150,"EN","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors."
149160,"EN","Retro","Retro sunglasses are inspired by last-century design and new-century resin technology. Available in an array of classic colors."
151110,"EN","Astro Pilot","This GPS has a high-contrast 86mm color screen that is viewable in sunlight. Requires four AA batteries for 15 hours of service. Uses a 30MB memory card. Weighs 340 grams."
151120,"EN","Astro Pilot","This GPS has a high-contrast 86mm color screen that is viewable in sunlight. Requires four AA batteries for 15 hours of service. Uses a 30MB memory card. Weighs 340 grams."
151130,"EN","Astro Pilot","This GPS has a high-contrast 86mm color screen that is viewable in sunlight. Requires four AA batteries for 15 hours of service. Uses a 30MB memory card. Weighs 340 grams."
152110,"EN","Sky Pilot","Small and lightweight, this GPS has a 55mm color screen and comes with a 32MB memory card. It includes an electronic compass and altimeter. Base maps are included. Requires two AA batteries for 18 hours of service. Weighs only 160 grams."
153110,"EN","Auto Pilot","The Auto Pilot is an easy-to-use navigation system for the road. A 90mm color touchscreen and audio directions make exploration fast and fun. Comes with preloaded maps."
154110,"EN","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers."
154120,"EN","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers."
154130,"EN","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers."
154140,"EN","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers."
154150,"EN","Kodiak","The Kodiak includes a tough leather strap, precision Swiss quartz movement, with luminous hands and markers."
